,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,budget_x,actor_2_facebook_likes,movie_facebook_likes,before_premiere_trends,director,writer,producer,composer,cinematographer,main_actor_4,worldwide,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,mpaa_G,mpaa_NC-17,mpaa_PG,mpaa_PG-13,mpaa_R
0,3.4151619222649146,-0.26259072619471485,-0.08746282158188964,501,-0.43879298582761134,94,-0.4073422598403589,1247,3.669534614844694,-0.31225837606440654,0.7166879361361812,4.190427154805525,333,448,320,169,303,893,12.343414827082986,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,2.9650559957723712,-0.09310027321805535,-0.02922580877428613,794,1.5702436922977867,351,1.4149284212935116,503,5.194658608367433,0.3992817676577895,-0.512893361390567,0.12324683725589622,296,1047,356,150,104,441,3.946822183060689,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2.7149971477209585,6.360482036658764,8.80673475513797,207,0.9005647995893208,657,3.8608565446124805,643,3.6270236726900498,3.5507883097344455,5.597753086924182,3.8418116990155573,140,582,150,150,469,434,4.012153190080537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.114620520191916,-0.11959256426946926,-0.21799405718513887,900,-0.4573379397795381,166,-0.5313367328350596,977,3.88624298123094,-0.3654838198861456,0.3813475822652499,0.4718622930458644,34,52,488,277,93,1089,0.49732707259081993,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,2.3149029908386978,-0.26259072619471485,1.175677904486476,441,0.7460235166565978,276,1.3188232826502029,715,4.312950607961567,1.4497839483500083,-0.512893361390567,1.2852983565557903,728,959,63,75,50,1183,3.6237810763785796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6,2.3149029908386978,-0.26259072619471485,1.175677904486476,441,0.7460235166565978,276,1.3188232826502029,715,4.312950607961567,1.4497839483500083,-0.512893361390567,0.9366829007658221,728,959,63,75,50,1183,3.6237810763785796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,-0.48575610733712665,-0.25807499476549656,-0.3167961616725214,306,-0.4491472517841038,78,-0.5245109648181273,775,4.025022944266159,-0.37931543193192646,0.5676477788602118,0.0651442612909015,589,200,711,8,478,1054,1.9681218533923568,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.564726446684459,-0.26259072619471485,7.200196470790287,867,0.8490510386117465,123,3.2428104699995846,1089,3.341107726056928,3.2006209161703727,3.883791278250533,0.0651442612909015,458,602,452,92,42,217,5.057352155421344,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10,3.6652207703163273,-0.26259072619471485,0.3724087623126346,606,0.282399667858429,263,0.41409495132615476,18,3.249695746103589,0.2241980708757531,6.827334384450929,-0.34157377046406145,862,156,132,221,268,583,2.7899945957276966,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
11,2.9650559957723712,-0.26259072619471485,-0.06818436216971745,678,0.4369409507911519,392,0.6461291880244445,415,3.3764297601971345,1.2747002515679717,-0.512893361390567,5.701094129895388,102,765,283,203,329,525,1.1980802559780277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
13,2.064844142787285,-0.09310027321805535,-0.02922580877428613,794,1.5702436922977867,351,1.4206235406205225,503,3.719372186259759,0.3992817676577895,-0.3265931647956051,0.0070416853259068,296,1047,356,150,104,501,4.571112115471928,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2.0148323731770024,-0.09310027321805535,-0.02922580877428613,891,1.5702436922977867,351,1.3063442711836644,1200,2.881112824675663,-0.12596932268831976,1.2755885259210666,-0.34157377046406145,296,607,356,150,54,1200,0.36944133934275825,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15,1.664749985905024,-0.26259072619471485,-0.13043772068819015,215,0.282399667858429,263,0.24847585619138918,461,3.066432290020853,0.04911437409371667,3.883791278250533,1.169093204625801,862,260,150,150,19,329,2.1299856133850783,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
16,2.0148323731770024,-0.238506825238884,-0.3501318310727358,824,0.6429959947014492,536,0.3406865382360804,276,3.52302807730552,-0.43831863774747276,-0.512893361390567,-0.34157377046406145,26,44,35,155,251,1248,1.255530802524639,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,3.1651030742135013,-0.26259072619471485,7.200196470790287,867,0.8490510386117465,123,3.0626185695280554,1089,3.059390150337735,3.2006209161703727,4.070091474845494,2.2730421479607004,458,602,452,9,412,580,5.942994182398053,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,3.1651030742135013,-0.26259072619471485,7.200196470790287,867,0.8490510386117465,123,3.0626185695280554,1089,3.059390150337735,3.2006209161703727,4.070091474845494,2.2730421479607004,458,602,452,9,412,580,5.942994182398053,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,1.314667598633046,-0.1867264381838477,-0.02922580877428613,897,1.5702436922977867,351,1.655002826453464,1133,3.7263595391017037,1.4497839483500083,1.6481889191109904,0.0651442612909015,686,1047,356,150,104,441,3.9531943590955345,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,-0.18568548967543116,-0.20599355894851237,-0.14248675782079778,729,0.02483086297055744,681,-0.08330672048440037,920,3.1539957373964547,-0.3332684196782509,0.9775082113691278,0.762375172870838,59,327,472,92,50,566,1.9964396349757099,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
21,2.16486768200785,-0.122904100650896,-0.0440862879045022,67,0.282399667858429,207,0.5832316201628976,226,3.2486013244551737,1.2747002515679717,1.5736688404730057,-0.34157377046406145,518,462,63,169,232,493,2.587037688919223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
