,color,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,language,budget_x,actor_2_facebook_likes,movie_facebook_likes,director,writer,producer,composer,cinematographer,main_actor_4,worldwide,mpaa,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
0,1,2.819096877745997,-0.31565423266516174,-0.18812607292515673,258,-0.8527539295827202,53,-0.6371239222400632,658,0,3.1751380964129874,-0.38672542237485774,0.47275629790576185,173,243,163,89,162,459,10.125192575582844,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,2.4166817276887156,-0.17807450080832873,-0.14146002358119195,414,2.4305682858980178,178,1.5186649543004829,259,0,4.741639823516991,0.1956523454723533,-0.5690356017641469,153,549,178,79,49,223,3.009971872979317,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,2.1931177554346704,5.0604631755947445,6.938906083778982,112,1.3361275474044385,345,4.412255185246726,333,0,3.1314738011891934,2.7750814353468116,4.6083544450802485,78,314,71,79,257,219,3.065332964641067,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.762308333008782,-0.19957897044136835,-0.2927223904202502,477,-0.8830615192640808,88,-0.7838122865988405,514,0,3.3977259198710805,-0.43028911367051526,0.1886312343594231,18,31,242,136,45,567,0.08689103710794,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1,1.8354153998281983,-0.31565423266516174,0.8240444456042865,233,1.0835643000597663,136,1.4049703253901844,373,0,3.83601043777314,1.0554620420971728,-0.5690356017641469,366,508,23,35,21,619,2.736228835058552,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,1,1.164723483066063,-0.31565423266516174,5.651566791531677,458,1.2519397982895477,67,3.6810922100453776,574,0,2.8378007450248703,2.4884782031385386,3.156159675843406,227,324,227,45,17,102,3.9510281052639282,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,3.0426608500000416,-0.31565423266516174,0.18037479948063417,309,0.3258745580257498,130,0.33465552904726453,6,0,2.7439086909472574,0.05235072936821674,5.650146344750157,435,81,62,112,142,303,2.0296833207101925,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,1,2.4166817276887156,-0.31565423266516174,-0.17267800141818906,346,0.578437805370422,202,0.6091574631614103,209,0,2.874081091882212,0.9121604259930362,-0.5690356017641469,56,411,142,102,172,266,0.6807049527141842,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,1,1.6118514275741533,-0.17807450080832873,-0.14146002358119195,414,2.4305682858980178,178,1.5254024137914637,259,0,3.226327797727725,0.1956523454723533,-0.4111883442384031,153,549,178,79,49,252,3.538991301987337,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1,1.5671386331233443,-0.17807450080832873,-0.14146002358119195,471,2.4305682858980178,178,1.3902073626820062,633,0,2.3653258442737646,-0.23425250284005641,0.9462980704829931,153,327,178,79,23,627,-0.021478546869773924,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
